Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Honduras;NARTD;Transactions Share %;Discounters;MAT Q4.24;4.5;
Republica Dominicana;NARTD;Transactions Share %;Discounters;MAT Q4.24;0;
Peru;NARTD;Transactions Share %;Discounters;MAT Q4.24;2.99479245286804;
Ecuador;NARTD;Transactions Share %;Discounters;MAT Q4.24;3.7;
Colombia;NARTD;Transactions Share %;Discounters;MAT Q4.24;29.1;
Center Zone;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;1.36682462689902;
Guatemala;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;0.4;
Costa Rica;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;0.8;
Honduras;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;0.4;
Republica Dominicana;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;0.97;
Peru;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;1.54112141623383;
Ecuador;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;3.2;
Colombia;NARTD;Transactions Share %;Wholesalers;MAT Q4.25;1.3;
Center Zone;NARTD;Transactions Share %;Wholesalers;MAT Q4.24;1.17595646863161;
Guatemala;NARTD;Transactions Share %;Wholesalers;MAT Q4.24;0.2;
Costa Rica;NARTD;Transactions Share %;Wholesalers;MAT Q4.24;0.5;
