Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Republica Dominicana;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Republica Dominicana;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;3.04;
Republica Dominicana;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;1.75;
Republica Dominicana;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.44;
Republica Dominicana;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.4;
Republica Dominicana;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Republica Dominicana;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;4.23;
Republica Dominicana;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;1.98;
Republica Dominicana;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.54;
Republica Dominicana;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.42;
Colombia;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Colombia;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;3;
Colombia;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;4.8;
Colombia;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;3.5;
Colombia;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;6.2;
Colombia;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Colombia;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;2.7;
Colombia;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;4.4;
Colombia;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;3.4;
Colombia;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;5.3;
Colombia;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Colombia;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;2.5;
Colombia;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.8;
Colombia;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.7;
Colombia;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.7;
Colombia;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Colombia;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;2.3;
Colombia;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.9;
Colombia;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.6;
Colombia;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.6;
Ecuador;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
